Frank Consuelo,El misterio del látigo negro (1958)
Do Ping,Kuhai mingzhu (1962)
Wood Wilson,It Happened at the World's Fair (1963)
Rudolph Gretchen,Run Swinger Run! (1967)
Sturridge Tom,Maestro (2008)
Smith Daniel (XVI),Disorder (2006)
Carson Charles (I),Blind Justice (1934)
Camisón Cristina,Hoy x ti mañana x mí (2002)
Kwok Peter,Rage of Ninja (1988)
Cole Slim,A Dog's Life (1918)
Geraghty Carmelita,Jungle Mystery (1932)
Bardskaya Nataliya,Mozhe bi fregata (1980)
Tisdale Tiffany,The Date Profile (2010)
Noufer Martin,Untitled (2011/I)
Young Carleton,Honor of the West (1939)
Ringger Gerda,Mir lönd nüd lugg (1940)
André Marcel (I),Le huitième jour (1960)
Dalali Hagar,High School Gig (2010)
Donadio Giulio,Una vita perduta! (1912)
Khetib Miloud,Morituri (2007)
Ellis Frank (I),Shotgun Pass (1931)
Landon Michael (I),I Was a Teenage Werewolf (1957)
Holmes Paul (I),Angel of Destruction (1994)
Ward Heath (I),Snow Day Bloody Snow Day (2005)
Silva Sérgio (II),A Outra (2009)
Kruk Jan Pawel,Bokser (1967)
Little Liz,Haunted Planet (2007)
Kaufman Ken (I),Otto Preminger (1999)
Vysotskaya Yuliya,Max (2002/I)
Horton Dan (I),Night Visions (1991)
Ursin David,Jerry Maguire (1996)
Choudhary Arpana,Apradhi Kaun? (1982)
Creal Sheila,The Souler Opposite (1998)
Okamura Masumi,Isola: Tajuu jinkaku shôjo (2000)
Lönnberg Tuuli,Skavabölen pojat (2009)
Kostelka Lubomír,Hotýlek v srdci Evropy (1994)
Saul Guerrero Gigi,Autumn to Spring (2012)
Steimann Henny,Die Augen der Welt (1920)
Duncan Robert (II),The Miracle Maker (2000)
Welsh Anthony (II),Red Tails (2012)
Dilip (I),Mayamohini (2012)
Barney Maria,Gung Ho (1986)
Shipman Ann,Mr. Nice Guy (1987)
Sacha Orlando,Alias Gardelito (1961)
Kriekhaus Stefan,Der Preis (2011)
Corrigan Colleen,The Appointment (1996)
Hajnóczi Livia,Utószezon (1967)
Marfil Martin (I),Batong buhay (1950)
Whyte Scott (I),Dark House (2009)
Wilde Barbie,You're an Asshole Holsten Pils Anti-Drink Driving Campaign (1995)
Hearn Chick,Volunteers (1985)
Clayton Judy,Ace Ventura: Pet Detective (1994)
