Seberg Gregor,King Kongs Tränen (2010)
Pelzer Orisha,Material Lies (2011)
Vandergrift Monte,The Girl on the Front Page (1936)
Baude Anna-Lisa,I paradis... (1941)
Slajerová Dorotka,Vendeta (2011)
Bryant Mrs.,The Witness for the Defense (1919)
Brossard Patrick,Sur un air d'autoroute (2000)
Roberts June (II),Heat of Madness (1966)
Shek Dean,Tian tian bao xi (1974)
Iversen Barclay,Tears (2005)
Wilson Kadeem,Ghett'a Life (2011)
Brooker Christian,Santa Claus Versus the Zombies (2010)
Endoso Kenny,Point of No Return (1993)
El Gran Wyoming,El oro de Moscú (2003)
Löwendorf Inka,Cato (2009)
Akiyama Nana,Gachi-ban (2008)
Axelsson Martin,I brännpunktens skugga (1998)
Gottliebová Ruzena,Anna proletárka (1953)
Di Martino Blu,Musica per i miei occhi (2009)
Crocker Tony,Churchill: The Hollywood Years (2004)
Young Carleton,People Will Talk (1951)
Vesnina Ye.,Slomannyy svet (1991)
McGee Lindsay (I),Nursie (2004)
Peil Sr. Edward,Charlie Chan's Chance (1932)
Barnes Reginald L.,Read On (2006)
Lagerwall Sture,Karriär (1938)
Bradbury Jr. James,Anne Against the World (1929)
Chaddha Sheeba,Luck by Chance (2009)
El Hadi Fatima,Al malaika la tuhaliq fi al-dar albayda (2004)
Miwa Akihiro,Zoku beran me-e geisha (1960)
Malatesta Fred,Rangers of Fortune (1940)
Höflich Lucie,1914 die letzten Tage vor dem Weltbrand (1931)
Hoyt Arthur,Your Uncle Dudley (1935)
Maggio Vincenzo,Bomber (1982)
Campos Gaspar,Madre Alegría (1935)
Koutsokosta Mirella,O kos pterarhos (1963)
Krantz Gösta,Skål och välkommen (1981)
Nogales María,El amor de Babilonia (2004)
Weel Jørgen,Skytten (1977)
Pandya Ameya,Ek Vivaah... Aisa Bhi (2008)
Hull Mike (I),MindField (2003)
Palmer Violet,Neighbors (1918)
Sampson Angus,The Last Supper (2009/III)
Laines Alex,The Candyman Conspiracy (2007)
Shell Michael,Finding Home (2009/I)
Doggart Evelyn,It Was an Accident (2000)
Delair Suzy,Prends la route (1936)
Stephenson Robert R.,The Adventures of Sherlock Holmes (1939)
Dix Mary Lou,The Final Hour (1936)
Roshan Rakesh,Shararat (1990)
Gasparini Paolo,Ecco fatto (1998)
Gencer Zuhal,Sari tebessüm (1992)
Aquilani Marzia,Al centro dell'area di rigore (1996)
Ninchi Carlo,La fanciulla di Portici (1940)
Mateos Héctor,Sinfonía de una vida (1946)
Hanley Trudi,300 (2006)
Kristály Kriszta,Kopaszkutya (1981)
Espinoza Jennie,Niña quebrada (2008)
Viola Enzo,Alas abiertas (1921)
Foures Muriel,J'ai pas sommeil (1994)
Thornson Justin,Church Ball (2006)
Cashman Pat,Dairantô Sumasshu Burazâzu ekkusu (2008)
Patlis Pablo,Caballos salvajes (1995)
Ponziani Antonella,Intervista (1987)
Lalitha K.P.A.C.,Gandhinagar 2nd Street (1986)
de Vries Casper,Alec to the Rescue (1999)
Sandoval Miguel (I),Repo Chick (2009)
Tripp Chet,Siren's Kiss (1995)
Eldridge Charles,Brown's Summer Boarders (1915)
Häufler Ines,Kleine Fische (2009)
Gamier Randy,Pinagbiyak na bunga: Lookalayk (1994)
Naggar Eric,Mr. Bean's Holiday (2007)
Hale Barbara,Lady Luck (1946)
Machalica Aleksander,Zaglowiec (1985)
Rodríguez Ricardo (XVI),Historia de un destino (2004)
Cooley Chris (II),Ghosts Don't Exist (2010)
Terry June,There Goes My Girl (1937)
Boissard Marie,Mon pire cauchemar (2011)
Mahendra (I),Deewana (1992)
Everett Charles (II),Killzone 3 (2011)
Llopiz Hugo Javier Muñoz,Los aviones que se caen (2012)
Leite Maria (III),Um Roupão Vermelho Sangue (2009)
Trick Daniel,Wer ist eigentlich... Paul? (2005)
Simpson Sean (I),Like It Is (1998)
Mamangon Jane,Nardong burak (1972)
de la Mar Chris,Het proces Begeer (1918)
Tamam Amos,Etz Limon (2008)
Millyar Georgi,Polyot v stranu chudovishch (1986)
Pobel Karl,Das Unheil (1972)
Fernández Rogelio,El misterio del carro express (1953)
West Pat (I),It Can't Last Forever (1937)
Ihle Tami,InSearchOf (2009)
Dehandschutter Senne,Olivetti 82 (2001)
Gutesa Bojana,Ranjena zemlja (1999)
Nasser (I),Rowdy Rathore (2012)
Roux Tony,Panhandle (1948)
Rütting Barbara,Ich war ihm hörig (1958)
Tanba Tetsurô,Aiyoku (1966)
Gettrell Torrance,Moonlight by the Sea (2003)
Don Robert,Raven (2009)
Serner Håkan,Ministern (1970)
Rice Joan,One Good Turn (1955)
Nehra Katie,Somewhere (2010)
deVry William,In Return (2012)
Hitchcock Ellen,Johnny (1999)
Toyota Masahiro,Pisutachio no hitobito (2001)
Plestina Milan,Dogodilo se na danasnji dan (1987)
Gugolz Aldo,Drei D (1988)
Stoddard Mark (I),The Gunstringer (2011)
Cummings Carol (I),Blame It on the Heat (1990)
Spencer James (IV),Der Bier-Film (2010)
Shvedoff Ivan,England! (2000)
Dusenberry Ron,The Outsider (1994/I)
Anagnostopoulou Aspasia,Thysiastika gia to paidi mou (1960)
Taylor George (V),Those High Grey Walls (1939)
C.K. Louis,Role Models (2008)
Ray Johnny (III),Cursed (2005)
Sayre Jeffrey,Good Sam (1948)
Dervisoglu Fatih,Silent Ones (2012)
Nolan Bob,Heldorado (1946)
Strube Cordelia,Big Deal (1985)
Furst Griff,The Loft (2013)
Twelvetrees Helen,Bad Company (1931)
Ward Al (I),White House Madness (1975)
Ortlieb Willy,Two Lane Asphalt (2014)
Ivascu George,Modigliani (2004)
Motilal,Be Kharab Jan (1936)
Riser Ronn,House Party (1990)
Santos Leni,Sa ngalan ng anak (1978)
Tomicic Mike,UFO Kidnapped (1983)
Behl Rajesh,Qaid (1975)
Tunstall Kristen,Still (2012/V)
Guadamillas Amanda,Quercus (2006)
Collie Richard,The Pesky Suitor (1995)
Myasnikova Varvara,Chapaev (1935)
Javed M. Faraz,Latent Lava (2008)
Cheng Fu Hung,Sha bao xiong di (1983)
Ramos Rhian,Ouija (2007)
Atwood David (V),Owned (2009/I)
Cretu Florica,Babysitters (1969)
Jones Buck (I),Below the Border (1942)
Unterkircher Hans,Ober zahlen (1957)
Santos Arwind,First Day High (2006)
Sour Hilda,Callejera (1949)
Shioya Shun,Michi - Hakuji no Hito (2012)
Riley George (III),How to Succeed in Film Festivals... Without Really Trying (2007)
Carlsohn Grete,Die Millionen der Yvette (1956)
Angelica Martha,Vuelven los campeones justicieros (1972)
Leigh Suzanna,The Deadly Bees (1967)
Froelich Mary,Driven by Faith (2009)
Hankin Larry,Pretty Woman (1990)
Sénéchal Michel,La Bohème (1988)
Hayward Helen,Show Boat (1936)
Pmp Commandos,Surabaya Conspiracy (1969)
Gavril Jr. Michael,Booted (2013)
Artoli Babiker K.,U Pana Boga za piecem (1998)
Delavenay Jeanne,Men/Toys/Girl (2001)
Trandafir Adriana,Pacala se întoarce (2006)
Oscarsson Per,Picassos äventyr (1978)
Roubíková Ludmila,Dívka s tremi velbloudy (1967)
Herwig Paul,Prince of Beers (2011)
Abuladze Lia,Gagma napiri (2009)
Peters Robert (I),Ocean's Eleven (2001)
Harding Mike (VI),Go Getta! (2009)
Pratt Jack (I),Below the Deadline (1913)
Nosálová Eliska,Plavcík a Vratko (1982)
Burton Norman,Mausoleum (1983)
Storck Jackie,The Cool and the Crazy (1958)
Padilla Boy,Bilang na ang oras mo (1985)
Gilman Fred,The Home Trail (1927)
Dvorský Alois,Dokud mas maminku (1934)
Stiller Ben,Night at the Museum: Battle of the Smithsonian (2009)
Oberbeck Anthony,Master of Inventions (2012)
Henriksen Patrick,Äideistä parhain (2005)
Cornevin Léonard,Une vie de rêve (2012)
Terry Phillip,Sweater Girl (1942)
Minotti Felice,La forza della coscienza (1918)
De Cordova Frederick,The King of Comedy (1983)
Cronenberger Theresa,Ruby in Paradise (1993)
Tucker Dwain S.,Titillating Steven (2003)
Yamazaki Kuninori,Chikan densha abunai rinjin (1986)
Dion Lise,Méchant party (2000)
Montaigu Sandra,L'amour par terre (1984)
Foulcher John,Going Going (2009)
Allio Paul,Toute une nuit (1982)
Finnegan Haley,Paragon Algorithm (2012)
Sunder (I),Rustom-E-Rome (1964)
Tennant Frank,The Murdock Trial (1914)
Griffith Kenneth (I),High Treason (1951)
Calvert E.H.,Billy McGrath's Love Letters (1912)
Wreda Hestu,Long Road to Heaven (2007)
Shaw Richard (I),The Gambler and the Lady (1952)
El Mouissi Selma,Blanche (2002)
Kane Jedi,What's Up Famousface (2010)
Aerts Zeno,Übertijd (2009)
Cifredo Alicia,Los lobos de Washington (1999)
Tien Ching (I),Shui hu zhuan (1972)
Cardoso António (I),Paixão de Um Homem (1972)
Arno Sig,Üb' immer Treu' und Redlichkeit (1927)
Hartnell William,Escape (1948)
Baker Byrd,The Boy Who Talks to Whales (1975)
Kent Crauford,Parnell (1937)
Combs Gilbert B.,Sudden Death (1995)
Peters Pauline (I),The Mayor of Casterbridge (1921)
Nichols Dandy,The Holly and the Ivy (1952)
Mounir Mohamed,Al-massir (1997)
Atkins Robert (I),Hamlet (1913)
Lavialle Charles,Le roi Pandore (1950)
Siliwangi Dali,Boneka permata (1975)
May Elizabeth (IV),Impulse (2011)
Tadeusz Malinowski,Eksmisja (2012)
Fox Blu,The Mailman (2004)
Malonzo Rey,Hatulan si baby angustia (1984)
Williams Danielle (IX),Cornered (2011)
Draper Natalie,Thirty Seconds Over Tokyo (1944)
Lazarev Yefim,Bud schastliva Yuliya (1983)
Hunter Brooks,Happy Now (2006)
Berger Debra (I),Die Hinrichtung (1976)
Cummings Irving,Over the Ledge (1914)
Jeanes Don,Transformers: Dark of the Moon (2011)
Lunghi Cherie,Back to the Secret Garden (2001)
Adamczyk Piotr,Trick (2010/I)
Heddaj Nourredine,Exils (2004)
Lukawski Grzegorz,Szamanka (1996)
Feldman Ben (I),Departure Date (2012)
Elefteriadis Lefteris,O sexokynigos (1981)
Gray Jenny,The Spider (1931)
Popescu Ilariu,In sat la noi (1952)
Zainuddin M.E.,Belaian kasih (1966)
Newman Travis Scott,Land of Nod (2006/I)
Castelluccio Federico,Keep Your Enemies Closer (2011)
Cook Vanessa (V),Skunk-Ape Hunters in Texas (2011)
Macpherson Jeanie,Winning Back His Love (1910)
Beauvais Robert,Les quatre cents coups (1959)
Mabius Eric,Reeker (2005)
Sandford Tiny,Paid to Love (1927)
Gray Peter (XXI),Interview with Terror (1987)
Davis Hyram,Squizzy Taylor (1982)
Spence Taft,The Daredevil (1972)
Petzold Adolf,Dem Teufel verschrieben (1919)
Wayne Jesse,Testament (1983)
Fernández Bibiana,Rojo sangre (2004)
Bertho Paul,Le sortilège de Patouillard (1912)
Beard Stanley,Life in Emergency Ward 10 (1959)
Gogichaishvili V.,Kavkasiuri romansi (1975)
Fréchet Leila,Chanel Solitaire (1981)
Tsang Eric (I),Gong wu (2004)
Hanano Tomio,Tôshi reijô (1961)
Lavrov Kirill,Tri protsenta riska (1985)
Crabb Brett,Justice Squad (2012)
Baltzer Robert,3055 Jean Leon (2006)
Smorodina Lyudmila,Petlya Oriona (1981)
Khan Riyaz (I),Sambhu (2009)
Ebrahim Taha,Jingles the Clown (2009)
Jørgensen Bent Raahauge,Busters verden (1984)
Louise Tina,The Trap (1959)
Verley Bernard,Taxi de nuit (1993)
Hamilton John (I),Breezing Home (1937)
Margaroli Lisa,Lost Angeles (2012)
Mayo Alfredo (I),Delirio d'amore (1977)
Boland Katie,Adoration (2008)
Johnson Arthur V.,The Physician's Honor (1912)
Harvey Meg (II),The Right Hook (2000)
Farnum Franklyn,I Married a Witch (1942)
Forest Michael (I),La polizia incrimina la legge assolve (1973)
Dietrich Carol (I),The Devil and Miss Jones (1941)
Fiala Jindrich (I),Starý hrích (1930)
Chiang Anthony (I),Moneyball (2011)
Ortlieb Jim,Miss This at Your Peril (2010)
Fawcett George,Men of Steel (1926)
Kleinert Robert (I),Die Entstehung der Eidgenossenschaft (1925)
Rae Bette,Eating L.A. (1999)
Benelkadi Azzedine,Dernier maquis (2008)
Reilly Siobhan,The Clan (2009)
Tiffany Paige,Goosed (1999)
Meißner Dorothea,Der Dritte (1972)
Sebastian Maitane,Lo mejor de cada casa (una semana en el parque)
Kures Halil,Erkek adam (2009)
Kedrakas Nasos,Xerizomeni genia (1968)
Murski Alexander,Das Fräulein vom Amt (1925)
Darrell Steve,Abandoned (1949)
Vasisht Mita,Oops! (2003)
Itô Takeshi,Kyuni tadori tsuite shimau (1997)
Wainwright III Loudon,G-Force (2009)
Khote Viju,Banjaran (1991)
Christersson Ulf,Bara du & jag (1994)
Ochoa Mariana (I),Chinaman's Chance (2008)
Standen Gemma,Beneath a Neon Tide (2013)
Madrid Mark,Porky's II: The Next Day (1983)
Signor Tari,Rudy Blue (1999)
Dick Lucas,The Absent (2011)
Keener Hazel,North of Nevada (1924)
Craig Catherine (II),Unseen Enemies (1926)
Charkut Victoria,Francine (2012)
Kahn Emanuel,Restaurant Intim (1950)
Pons Antonia,La fiel infantería (1960)
Dermont Jean-Paul,Casino (1991)
Katagiri Yûko,Momojiri musume: Pinku hippu gaaru (1978)
Kneisel Kat,Colma: The Musical (2006)
Corne Léonce,La corde raide (1960)
Horner Mike (I),Sorority Sweethearts (1983)
Nagashima Taeko,Hái-kak chhit-ho (2008)
Denke Lisa,Just Desserts (2008)
Gonzales Anna (I),Durango (1967)
Randolph Ty,Dark Vengeance (1992)
Sagliocca Guido,Cento giorni a Palermo (1984)
Leotti Fabrico Caio,Trekkies 2 (2004)
Afzali Mahnaz,Ashk o labkhand (1995)
Coutinho Jorge (II),Ladrões de Cinema (1977)
People of New York New York,Twin Towers: An American Tragedy (2002)
Hunter Kirk (I),Slasher (2009)
Bianchi Frenchie,Fathers Sons and Chorus Girls (1918)
Sauvion Serge,Le coeur fou (1970)
Leano Josamm,Mondomanila (2004)
Müller Renate (I),Der kleine Seitensprung (1931)
Winter Till Valentin,Der ganz große Traum (2011)
Kim Geon,Jiphaengja (2009)
Gilmore Douglas,A Song of Kentucky (1929)
Cooksey Danny,Mac and Me (1988)
Lenzo Kris,Ripped (2011)
Alexander Margaret (I),Kenny & Company (1976)
Leon Omar,Lost Angeles (2004)
Kahl Rainer,Bad Money (1999)
Urband Joseph,Mission of the War Chest (1918)
Chiba Nobuo,Yurei takushi (1956)
Johnson Bob (VI),Prince of Persia 3D (1999)
Howard Esther,Homicide (1949)
Heo Jang-kang,Jangmiui gok (1960)
Jeans Ursula,Over the Moon (1939)
Hatch Riley,Wildfire (1915)
Garcia Teresa (VIII),Pájaro muerto (1988)
King Henry (I),Pay Dirt (1916)
Dakada Kholeka,Stargazer (2011)
Bunny John,Troublesome Secretaries (1911)
Hakeemshady mohamed,Default (????)
Devrim Devlet,Çingene (1966)
León Nathanael,Operación carambola (1968)
Young Laura (VII),Virgin Dreams (1977)
Chochlew Marcin,Lódka (2007)
Richard Ray,Wrong Turn (2010)
Roman Ruth,Incendiary Blonde (1945)
Scott Ralph (IV),Ass & The Elephant (2008)
Ba Otis,Antilles sur Seine (2000)
Nazemian Al,Kings of Bushwick (2011)
September Sonja,'n Saak van Geloof (2011)
Kupriyanov Vasili,Slovo dlya zashchity (1977)
Sage Genevieve,Fine Arts (2009)
Baldwin Daniel (I),Christmas with a Capital C (2011)
Seusat Naowarat,Khao niao moo ping (2006)
Mahieu Ethan,One Shot Wonder (1997)
Thorwarth Peter,Nighthawks (1999)
Mercey Paul,Un singe en hiver (1962)
Tietze Conrad,Stanley at Starvation Camp (1915)
Newman Harry (I),Sam's Boy (1922)
O'Connor Khari,Extra Credit (2003)
Laforteza Gina,Rico Solitaryo (1966)
Tucker Richard (I),The Covered Trailer (1939)
Taylor Al (I),Code of the Outlaw (1942)
Williams Janet (I),Caught in the Game (2009)
Casales Félix,El placer de matar (1988)
De Virgiliis Attilio,La fuga degli angioli (1912)
Lucas Wilfred,Young Donovan's Kid (1931)
Castizo Alfonso (II),El caminante (1979)
Cobbs William,Approaching Midnight (2013)
Kumar Naresh (VI),Pseudo (2012)
Boye Astrid,Fanny Hill (1968)
Suzuki Takuji,Saru (2003)
McGann Mark (I),Let Him Have It (1991)
Granström Anders (I),Prins hatt under jorden (1980)
Marchió Alberto,Luna di miele (1941)
Wilke Robert J.,Sheriff of Sundown (1944)
Close John (I),Hold That Hypnotist (1957)
Pichelski Jerzy,Krzyzacy (1960)
de Los Dolores Puigcerver Lucía,Turno de noche (2009)
Viaur François,La cavale (1971)
Väänänen Kari,Night on Earth (1991)
Malcolm Annie,Eyes Nose Mouth (2009)
Luchko Klara,Dyadushkin son (1966)
Ranni Rodolfo,El peso de la culpa (2011)
Wilson Charles C.,The Face Behind the Mask (1941)
Gómez Héctor (II),Que hora es? (1996)
Beaulieu Daniel (VIII),Northern Abductions (2012)
Grant Rita,Facing the Music (1941)
Satsuki Nobuko,Ai no mukuro (1921)
Leary Barbara (I),Spontaneous Combustion (1990)
Marsh Walter,Morning Glory (1993)
Bell Michael (I),Ninja Gaiden Sigma (2007)
Marsh Mae,Man's Genesis (1912)
Saylor Syd,By George (1927)
Rivas María (I),Manicomio (1954)
Majewski Czeslaw (I),Zloto dezerterów (1998)
Bruce Eve,The Family Jewels (1965)
Galaria Mez,Together (2012/IV)
Tabares Andrés,Rapeándole al miedo (2005)
Becker Meret,Gurbet - Fremde Heimat (2010)
Wong Chek-Ying,Yat kor ho ba ba (2008)
Pera Roger (I),Soñando silencio (2008)
Lee Gwen (I),My Dear Miss Aldrich (1937)
Nassry Robert,Speed (1994)
Marx David (I),Tenacity (2008)
Balderrama Joseph,Jack and Jill (2011/I)
Nguyen Trung,Green Dragon (2001)
Brännbacka Jonathan,Colorado Avenue (2007)
Holm Ian,Brazil (1985)
Zahara Alex,The Keeper (2004)
Mangini Alda,Ecco la radio! (1940)
Blunt Emily,All You Need Is Kill (2014)
Stedman Marshall,Three Black Eyes (1919)
Lee Coral,Goatherder (2011)
Pabon Miguel (II),Juego Final (2012)
Borot Jean-Max,Pique-Nique Douille (1995)
Reid Wallace,The Hidden Treasure (1912)
Patrick Robert (I),Autopsy (2008)
Kakke Kobus,Een Interessant Koffiepraatje Tusschen Verschillende Celebriteiten Van Roermond (1904)
Barrier Edgar,Song of Mexico (1945)
Shroff Jackie,Stunttman (1994)
Canas Josep Maria,La escalera (2011)
Agar John,The Rocket Man (1954)
Bond Greg (II),Rock Slyde (2009)
St. John Jahnni,Meet Joe Black (1998)
Raif Michael,Hotel Noir (2012)
Mattox Johanna,Sleep When You're Dead (1997)
Lai Suk Yin,Sun faa sau si (1998)
Swilley David,The Gist: The Break Windtalkers (2010)
DeVito Tony F.,Manhunt (2003)
Gorgatti Guido,El caradura y la millonaria (1971)
Pena Anthony (I),Megaforce (1982)
Sannom Ragnhild,Ungdomssynd (1914)
Dator Buddy,Jack & Jill (1987)
Oelmann Bella,Recycling Medea: Not an Opera Ballet Film (2013)
Zussin Victoria,Stardust Memories (1980)
Gail Max,The Organization (1971)
Rochette Sean,Bum Runner (2002)
Millan Art,Affair with a Stranger (1953)
Nasserdine Nevaro,Figure (2012)
Ikeuchi Junko,Miren (1963)
Sakura Mutsuko,Yorokobi mo kanashimi mo ikutoshitsuki (1957)
Unger Joachim,Der Hut des Brigadiers (1986)
Cheeks Rudy,Complex World (1992)
Renee Victoria,P.O.V.: The Camera's Eye (2003)
Harryson Peter,Hundhotellet (2000)
Cavazza Sebastian,Na putu (2010)
Hull Ken (II),Believe (2010/I)
Maaskri Fouad,Mondialito (2000)
Neighbors Pia,Decker's Dead (2010)
Switzer Carl 'Alfalfa',Here Comes the Groom (1951)
Ayala Jorge (V),Kev y Bob vs. El malévolo Don Don (2008)
Ray Arthur,Thirty Years Later (1928)
Tejada Gilberto,La soga (2009)
Rosser Jermaine,Bananas (2011)
Hintze Dorle,Vergeßt mir meine Traudel nicht (1957)
Joslin Margaret,Alkali Ike Bests Broncho Billy (1912)
Derwig Jacob,Alles Moet Nieuw - Piet Zwart (2012)
Kolb Jean,Moïse et Salomon parfumeurs (1935)
Braunschweig Brent,A Serious Man (2009)
Phillipi Chief,An Indian Ishmael (1912)
Kwon Il-su,The Real Bruce Lee (1973)
Perry Shauneille,Desperate Characters (1971)
Forman Tom B.,Forbidden Trail (1932)
Öz Benan,Serseri kabadayi (1969)
Brenna Harald,Haakon Haakonsen (1990)
Zurburg Stacey,September Dawn (2007)
Bryant Nana,You May Be Next (1936)
Caraballo Janet,Hello Hemingway (1990)
Garfield Allen,Dick Tracy (1990)
Offerman Jr. George,Three Comrades (1938)
Kravchenko Galina,Komitet 19-ti (1971)
Rushton Jenny (I),The Ugly (1997)
Howard Rance,Limit Up (1989)
Olson Sonja,Just Jamaal (2010)
Dorn Aaron (II),Waiting for Tomorrow (2007)
Viljanen Seppo,Another You (1991)
Bondi John,New World Disorder (1999)
Riendeau Yohan,Babine (2008)
Keenjeva Roxana,Venezia Salva (2012)
Sakall S.Z.,Der Stumme von Portici (1931)
Keane Edward,Men of Boys Town (1941)
Dubský Ruppert,Punta a ctyrlístek (1955)
Gray Charles (I),Silver Bears (1978)
Cameron Gene,The Midnight Kiss (1926)
Alexandre Manuel,Una mujer bajo la lluvia (1992)
Stella Martina,Amnèsia (2002)
Cheung Maggie,Shi lian zhuan jia (????)
Rawlinson Herbert (I),Jail Bait (1954)
Dufau Graciela,Crimen sin olvido (1968)
Flynn Miriam,Bucky Larson: Born to Be a Star (2011)
Hanson Tammy (I),In the Cold of the Night (1990)
Cipola Sal,The Adventures of Buster Smith (2005)
Israel Lou,Lady Late Nite (2010)
Davenport Camilla,Sunstroke (2006)
Pataki Michael,Love at First Bite (1979)
Jackson Orin,A Perilous Leap (1917)
Patel Nero,Guardians (2012)
Koivula Seppo,Matti (2006)
Urbano Ray,Vicious Joe (2010)
Parten Peter,Das große Liebesspiel (1963)
Griffith Jason (II),Sonic: Night of the Werehog (2008)
Ewell Tom,Desert Bandit (1941)
Prachy Rokeya,Britter Bairey (2009)
Horbatowska Hayley,Speed Dating (2010)
Francisco Betty,Broadway Bad (1933)
Latimer Billie,Smith's Holiday (1928)
Harris Michael (I),I Love You Don't Touch Me! (1997)
Norton Barry (I),To Catch a Thief (1955)
Linares Manolo,Animales devoradores: El hombre (1997)
Gerroll Rebecca,In Between (2009/II)
Leslie Joan,Too Young to Know (1945)
Lopez Matos Eugenio,Zambian Forge: Refugees of Meheba (2007)
Glover Danny,Proud to Be Cape Verdean: A Look at Cape Verdeans in the Golden State (2009)
Coleman Tom (I),Superman (1948)
Salcedo Paquito,Oro blanco (1965)
Knowlton Raylon Chance,Crystal Clear (2010)
Schneider Alexis,Roadside Massacre (2012)
Panagiotidis Alkis,Oh Babylon (1989)
Songulashvili Parsman,Rats ginakhavs vegar nakhav (1965)
Alden Bob,These Wilder Years (1956)
Moses Peter (III),Sarah Palin Media Addict (2011)
von Dohlen Lenny,White Camellias (2012)
Sævig Stian,Fullt magasin og en skrelt mandarin (2012)
Beggs Hagan,Inventing Grace Touching Glory (2003)
De Casas Antonio,Dispongo de barcos (2010)
Badillo Hector,Chicago Overcoat (2009)
Partridge Lonnie,The Garden (2006)
Wallburg Otto,Kolonne X (1929)
Kaul Anja Beatrice,Was am Ende zählt (2007)
Moore Rebecca (I),Spectropia (2006)
Donavon Bob,Invasion of the Reptoids (2011)
Barry Eddie,His Baby Daze (1929)
Prensor Scott,Kôkaku kidôtai 2.0 (2008)
Sherman Todd,Zero Patience (1993)
Krupa Mark Antony,The Sum of All Fears (2002)
Lewis Robert Q.,Good Neighbor Sam (1964)
Jensen Tomas Villum,Sprængfarlig bombe (2006)
Adair Jack,Florida Special (1936)
Crawford Sutton,Our Feature Presentation (2008)
Walker Zena,Cromwell (1970)
McMaster Carrie,The Bait (2009)
Vlady Marina,L'oeil du maître (1980)
Ash William,Hush (2008/V)
Perea Álex,Chamaco (2009)
Foster J. Morris,Bubbles in the Glass (1916)
Nobis Alain,Tintin et le lac aux requins (1972)
Rajshekar,Haqeeqat (1985)
Kozmenko A.,Tayna zapisnoy knizhki (1982)
Valderrama Ivan,AB Negative (2013)
Fraticelli Eric,Le silence (2004)
Langdon Malisa,Shadows (2009/II)
Schjelderup Gerdi,Andre omgang (2007)
Lawson Jones Peter,Hall of Fame (2012)
Lungu Georgiana,Nihil sine Morte (2010)
Walker Jr. Robert,The Ceremony (1963)
Wong Chau-Sang Anthony,Wong Gok fung wan (1996)
Khayyam Hassan,Bon Voyage! (1962)
Zhejmo Yanina,Goluboy ekspress (1929)
Middleton Charles (I),Thou Shalt Not Kill (1939)
Leonetti Jason,Kung Fool (1999)
McEachern Hays,All Fall Down (2012)
O'Connor Una (I),Personal Property (1937)
Sheehan John (I),As the Devil Commands (1933)
Ruiz José Antonio (IV),Asfixia (2005/I)
Menéndez Ángel,Mestizo (1966)
Spencer James P. (I),East of Java (1935)
Julissa (I),Espiritismo (1962)
Jardi Tala,Rebirth (2007)
Imhoff Fritz,Roxy und das Wunderteam (1938)
Bottini Anna Maria,La ragazza in prestito (1964)
Porter Roberto,El barón Brakola (1967)
Pfenning Leah,C.B. (2012)
Morgan Denise (III),Henry Fool (1997)
Chen Marcus (I),The Killer the Chef and the Gangsters (2006)
Victor Leslie,Lovers and Luggers (1938)
Nagy-Kálózy Eszter,A ház emlékei (2002)
Abeleda Emman,Halik (1998)
Guillory Donahue,Shock Waves (1977)
Choi Jong-won,Oseam (1990)
Darget Chantal,Zone frontière (1950)
Catalyst Clint,In the Spotlight (2007)
Stotskiy Nikolay,Trevozhnyy vylet (1983)
Garrett Haley,The Swim Team (2009)
Johns Stratford,The Fiendish Plot of Dr. Fu Manchu (1980)
Klein Nadejda,The Story of O: Untold Pleasures (2002)
Page Evelyn (I),Bashful (1917)
Lalande Valérie,La vie est un long fleuve tranquille (1988)
Akesan Shondrella,The Watermelon Heist (2003)
Bassett William,Ring of Fire II: Blood and Steel (1993)
Thompson Scottie,The Lookalike (2013)
Silva Esteban (I),El sabinosaurio un gigante inmortal (2004)
Goswami Meenakshi,Neelimay Neel (1991)
Leigh Frankie,The Honeymooners (1986)
Oscity Patrick,Die Apothekerin (1997)
Wilkins Tim (V),Killing Values (2008)
Mimoun Patrick,Jour blanc (2008)
Inokai Kiki,Bitter Circle (2001)
Burns Bob (II),Code of the Outlaw (1942)
Alyanak Osman,Namus ve silah (1971)
Kendall Alan (II),The Definitive Point (2011)
Lyon Kelly,A Boy Named Sue (2008)
Morgan Joan (I),Temptation's Hour (1916)
Ayrapetyan Arthur,Viko (2009)
Ropponen Maire,Kyläraittien kuningas (1945)
Kavaliauskaite Julija,Kai as mazas buvau (1969)
Biberti Robert,Le capitaine Craddock (1931)
West Jai,Worst Contact (2000)
Ioan Virginia,Profetul aurul si Ardelenii (1979)
Barenbaum Dan,The Potchki Chronicles (2001)
Gough Trent,Taxi Driver (1976)
Bajo Ulloa Eduardo,Alas de mariposa (1991)
Shefali,Mere Huzoor (1968)
Oliver Guy,The High Cost of Living (1912/I)
Dellecese Daniel,Detour (2002)
Joelson Tsianina,Girl's Best Friend (2001)
Kalinkin Mikhail,Padeniye (1993)
Hajdarhodzic Izet,Moja strana svijeta (1969)
Tocquigny Heather,Spank Bank (2009)
Buchholz Beatrice,Shuttlecock (1991)
Ohrner Thomas,Plem Plem - Die Schule brennt (1983)
Lloyd Miriam,The Gospel According to Philip K. Dick (2001)
Viana Milton,Copacabana Palace (1962)
Dauder Jordi,Adela (2000)
Katô Yoshihiro (I),Yûheisha - terorisuto (2007)
Lowe Susan (I),Cecil B. DeMented (2000)
Posse 99,L'erba proibita (2002)
Anocic Zivko,Zima (2011/II)
Diamond Arnold,The Switch (1963)
Spain Douglas,Reactionary (2011)
